axis,max_lag_sec,detrend_ma_sec,xcorr_window_sec,smooth_kernel,avg_delay_ms,max_delay_ms,std_delay_ms,fps
x,0.030,0.00,2.00,3,13.640,30.000,15.779,200.000
x,0.030,0.00,2.00,5,16.270,30.000,12.917,200.000
x,0.030,0.00,2.00,7,12.632,30.000,17.975,200.000
x,0.030,0.00,3.00,3,16.556,30.000,14.089,200.000
x,0.030,0.00,3.00,5,16.769,30.000,13.681,200.000
x,0.030,0.00,3.00,7,15.884,30.000,15.889,200.000
x,0.030,0.00,4.00,3,17.239,30.000,14.482,200.000
x,0.030,0.00,4.00,5,19.338,30.000,10.557,200.000
x,0.030,0.00,4.00,7,13.341,30.000,18.823,200.000
x,0.030,0.50,2.00,3,10.964,30.000,17.674,200.000
x,0.030,0.50,2.00,5,15.164,30.000,12.026,200.000
x,0.030,0.50,2.00,7,9.298,30.000,19.262,200.000
x,0.030,0.50,3.00,3,14.482,30.000,16.197,200.000
x,0.030,0.50,3.00,5,15.852,30.000,13.979,200.000
x,0.030,0.50,3.00,7,13.810,30.000,17.363,200.000
x,0.030,0.50,4.00,3,10.806,30.000,18.343,200.000
x,0.030,0.50,4.00,5,14.981,30.000,14.355,200.000
x,0.030,0.50,4.00,7,9.272,30.000,19.829,200.000
x,0.030,1.00,2.00,3,11.412,30.000,17.771,200.000
x,0.030,1.00,2.00,5,13.445,30.000,15.588,200.000
x,0.030,1.00,2.00,7,8.748,30.000,19.251,200.000
x,0.030,1.00,3.00,3,12.618,30.000,17.789,200.000
x,0.030,1.00,3.00,5,13.067,30.000,17.424,200.000
x,0.030,1.00,3.00,7,11.967,30.000,18.707,200.000
x,0.030,1.00,4.00,3,13.069,30.000,16.988,200.000
x,0.030,1.00,4.00,5,15.037,30.000,14.445,200.000
x,0.030,1.00,4.00,7,11.621,30.000,18.482,200.000
x,0.050,0.00,2.00,3,12.065,50.000,26.479,200.000
x,0.050,0.00,2.00,5,19.512,50.000,24.613,200.000
x,0.050,0.00,2.00,7,19.319,50.000,27.524,200.000
x,0.050,0.00,3.00,3,17.712,50.000,22.026,200.000
x,0.050,0.00,3.00,5,23.652,50.000,18.389,200.000
x,0.050,0.00,3.00,7,21.772,50.000,24.845,200.000
x,0.050,0.00,4.00,3,10.294,47.154,28.855,200.000
x,0.050,0.00,4.00,5,20.822,50.000,21.152,200.000
x,0.050,0.00,4.00,7,12.645,50.000,32.074,200.000
x,0.050,0.50,2.00,3,11.188,50.000,27.383,200.000
x,0.050,0.50,2.00,5,13.038,50.000,28.564,200.000
x,0.050,0.50,2.00,7,14.025,50.000,29.498,200.000
x,0.050,0.50,3.00,3,17.601,50.000,24.161,200.000
x,0.050,0.50,3.00,5,21.676,50.000,19.178,200.000
x,0.050,0.50,3.00,7,20.324,50.000,24.939,200.000
x,0.050,0.50,4.00,3,8.360,46.714,27.891,200.000
x,0.050,0.50,4.00,5,17.007,50.000,25.367,200.000
x,0.050,0.50,4.00,7,10.372,50.000,30.624,200.000
x,0.050,1.00,2.00,3,7.497,50.000,29.820,200.000
x,0.050,1.00,2.00,5,15.844,50.000,27.027,200.000
x,0.050,1.00,2.00,7,12.862,50.000,29.916,200.000
x,0.050,1.00,3.00,3,11.852,50.000,26.856,200.000
x,0.050,1.00,3.00,5,18.510,50.000,22.105,200.000
x,0.050,1.00,3.00,7,14.614,50.000,28.104,200.000
x,0.050,1.00,4.00,3,8.231,46.999,27.807,200.000
x,0.050,1.00,4.00,5,16.479,50.000,23.417,200.000
x,0.050,1.00,4.00,7,9.930,50.000,30.520,200.000
x,0.100,0.00,2.00,3,18.437,100.000,40.082,200.000
x,0.100,0.00,2.00,5,27.216,100.000,37.108,200.000
x,0.100,0.00,2.00,7,21.163,100.000,45.426,200.000
x,0.100,0.00,3.00,3,17.797,100.000,32.956,200.000
x,0.100,0.00,3.00,5,26.878,100.000,25.672,200.000
x,0.100,0.00,3.00,7,13.424,100.000,47.636,200.000
x,0.100,0.00,4.00,3,10.964,100.000,37.833,200.000
x,0.100,0.00,4.00,5,19.810,100.000,32.147,200.000
x,0.100,0.00,4.00,7,10.847,100.000,43.441,200.000
x,0.100,0.50,2.00,3,18.093,100.000,39.381,200.000
x,0.100,0.50,2.00,5,22.169,100.000,38.639,200.000
x,0.100,0.50,2.00,7,10.799,100.000,49.233,200.000
x,0.100,0.50,3.00,3,20.400,100.000,31.383,200.000
x,0.100,0.50,3.00,5,25.866,100.000,36.848,200.000
x,0.100,0.50,3.00,7,13.981,100.000,48.315,200.000
x,0.100,0.50,4.00,3,8.986,100.000,36.848,200.000
x,0.100,0.50,4.00,5,20.337,100.000,34.603,200.000
x,0.100,0.50,4.00,7,15.162,100.000,42.736,200.000
x,0.100,1.00,2.00,3,13.309,100.000,44.656,200.000
x,0.100,1.00,2.00,5,24.495,100.000,40.096,200.000
x,0.100,1.00,2.00,7,11.982,100.000,48.386,200.000
x,0.100,1.00,3.00,3,10.590,100.000,38.940,200.000
x,0.100,1.00,3.00,5,21.976,100.000,35.982,200.000
x,0.100,1.00,3.00,7,2.370,100.000,49.327,200.000
x,0.100,1.00,4.00,3,8.887,100.000,36.734,200.000
x,0.100,1.00,4.00,5,17.059,100.000,31.493,200.000
x,0.100,1.00,4.00,7,8.171,100.000,42.001,200.000
x,0.200,0.00,2.00,3,24.961,158.763,55.680,200.000
x,0.200,0.00,2.00,5,33.094,162.574,62.652,200.000
x,0.200,0.00,2.00,7,29.272,177.566,61.287,200.000
x,0.200,0.00,3.00,3,25.580,156.591,48.171,200.000
x,0.200,0.00,3.00,5,32.880,160.327,48.774,200.000
x,0.200,0.00,3.00,7,21.145,173.080,64.596,200.000
x,0.200,0.00,4.00,3,11.694,117.512,39.667,200.000
x,0.200,0.00,4.00,5,19.065,160.005,51.656,200.000
x,0.200,0.00,4.00,7,16.507,172.988,55.922,200.000
x,0.200,0.50,2.00,3,29.594,182.962,59.709,200.000
x,0.200,0.50,2.00,5,30.776,175.565,63.386,200.000
x,0.200,0.50,2.00,7,22.072,200.000,66.290,200.000
x,0.200,0.50,3.00,3,25.185,156.505,48.156,200.000
x,0.200,0.50,3.00,5,28.096,175.321,56.912,200.000
x,0.200,0.50,3.00,7,17.197,172.875,58.566,200.000
x,0.200,0.50,4.00,3,17.851,128.141,41.179,200.000
x,0.200,0.50,4.00,5,25.544,175.578,53.264,200.000
x,0.200,0.50,4.00,7,14.403,128.221,52.278,200.000
x,0.200,1.00,2.00,3,27.163,157.593,57.151,200.000
x,0.200,1.00,2.00,5,29.866,162.214,60.469,200.000
x,0.200,1.00,2.00,7,18.024,176.941,61.968,200.000
x,0.200,1.00,3.00,3,12.257,156.592,50.906,200.000
x,0.200,1.00,3.00,5,24.025,160.087,50.606,200.000
x,0.200,1.00,3.00,7,5.118,167.316,60.272,200.000
x,0.200,1.00,4.00,3,9.639,118.808,38.731,200.000
x,0.200,1.00,4.00,5,17.588,113.221,32.959,200.000
x,0.200,1.00,4.00,7,8.410,115.435,44.412,200.000
y,0.030,0.00,2.00,3,27.734,30.000,5.167,200.000
y,0.030,0.00,2.00,5,28.325,30.000,2.612,200.000
y,0.030,0.00,2.00,7,28.386,30.000,2.629,200.000
y,0.030,0.00,3.00,3,28.957,30.000,1.700,200.000
y,0.030,0.00,3.00,5,28.881,30.000,1.733,200.000
y,0.030,0.00,3.00,7,28.882,30.000,1.735,200.000
y,0.030,0.00,4.00,3,28.494,30.000,2.482,200.000
y,0.030,0.00,4.00,5,28.411,30.000,2.551,200.000
y,0.030,0.00,4.00,7,28.451,30.000,2.432,200.000
y,0.030,0.50,2.00,3,24.683,30.000,13.742,200.000
y,0.030,0.50,2.00,5,27.406,30.000,6.457,200.000
y,0.030,0.50,2.00,7,27.411,30.000,6.461,200.000
y,0.030,0.50,3.00,3,23.256,30.000,15.906,200.000
y,0.030,0.50,3.00,5,27.058,30.000,7.370,200.000
y,0.030,0.50,3.00,7,27.045,30.000,7.399,200.000
y,0.030,0.50,4.00,3,23.925,30.000,13.759,200.000
y,0.030,0.50,4.00,5,26.250,30.000,8.134,200.000
y,0.030,0.50,4.00,7,26.254,30.000,8.150,200.000
y,0.030,1.00,2.00,3,27.536,30.000,6.105,200.000
y,0.030,1.00,2.00,5,27.362,30.000,6.298,200.000
y,0.030,1.00,2.00,7,27.366,30.000,6.298,200.000
y,0.030,1.00,3.00,3,25.418,30.000,9.127,200.000
y,0.030,1.00,3.00,5,25.809,30.000,8.909,200.000
y,0.030,1.00,3.00,7,25.427,30.000,10.230,200.000
y,0.030,1.00,4.00,3,26.553,30.000,7.617,200.000
y,0.030,1.00,4.00,5,26.272,30.000,7.887,200.000
y,0.030,1.00,4.00,7,26.277,30.000,7.889,200.000
y,0.050,0.00,2.00,3,28.603,50.000,7.426,200.000
y,0.050,0.00,2.00,5,29.548,50.000,6.665,200.000
y,0.050,0.00,2.00,7,29.546,50.000,6.682,200.000
y,0.050,0.00,3.00,3,30.064,50.000,5.962,200.000
y,0.050,0.00,3.00,5,29.433,50.000,4.718,200.000
y,0.050,0.00,3.00,7,29.662,50.000,4.952,200.000
y,0.050,0.00,4.00,3,28.662,50.000,5.222,200.000
y,0.050,0.00,4.00,5,27.863,35.310,2.707,200.000
y,0.050,0.00,4.00,7,27.911,35.317,2.616,200.000
y,0.050,0.50,2.00,3,30.562,50.000,10.679,200.000
y,0.050,0.50,2.00,5,29.743,50.000,10.164,200.000
y,0.050,0.50,2.00,7,29.563,50.000,9.891,200.000
y,0.050,0.50,3.00,3,26.485,50.000,15.715,200.000
y,0.050,0.50,3.00,5,28.703,50.000,10.308,200.000
y,0.050,0.50,3.00,7,28.749,50.000,10.338,200.000
y,0.050,0.50,4.00,3,27.869,50.000,10.594,200.000
y,0.050,0.50,4.00,5,26.986,50.000,9.801,200.000
y,0.050,0.50,4.00,7,26.810,50.000,9.549,200.000
y,0.050,1.00,2.00,3,30.324,50.000,10.206,200.000
y,0.050,1.00,2.00,5,29.024,50.000,9.035,200.000
y,0.050,1.00,2.00,7,28.966,50.000,8.942,200.000
y,0.050,1.00,3.00,3,26.613,50.000,11.099,200.000
y,0.050,1.00,3.00,5,27.207,50.000,11.015,200.000
y,0.050,1.00,3.00,7,26.882,50.000,12.174,200.000
y,0.050,1.00,4.00,3,28.833,50.000,11.029,200.000
y,0.050,1.00,4.00,5,27.130,50.000,9.565,200.000
y,0.050,1.00,4.00,7,26.933,50.000,9.339,200.000
y,0.100,0.00,2.00,3,34.979,91.452,18.561,200.000
y,0.100,0.00,2.00,5,32.322,96.802,15.817,200.000
y,0.100,0.00,2.00,7,32.347,97.016,15.906,200.000
y,0.100,0.00,3.00,3,34.440,91.614,17.447,200.000
y,0.100,0.00,3.00,5,34.599,96.972,18.188,200.000
y,0.100,0.00,3.00,7,34.712,97.249,18.321,200.000
y,0.100,0.00,4.00,3,32.475,82.513,15.788,200.000
y,0.100,0.00,4.00,5,29.870,75.450,10.666,200.000
y,0.100,0.00,4.00,7,29.918,75.456,10.635,200.000
y,0.100,0.50,2.00,3,34.489,85.310,19.270,200.000
y,0.100,0.50,2.00,5,32.832,85.817,17.887,200.000
y,0.100,0.50,2.00,7,32.948,93.934,18.539,200.000
y,0.100,0.50,3.00,3,31.361,85.060,24.190,200.000
y,0.100,0.50,3.00,5,32.268,87.993,19.151,200.000
y,0.100,0.50,3.00,7,32.332,88.279,19.199,200.000
y,0.100,0.50,4.00,3,30.491,82.645,17.436,200.000
y,0.100,0.50,4.00,5,28.216,78.281,13.635,200.000
y,0.100,0.50,4.00,7,28.054,78.629,13.528,200.000
y,0.100,1.00,2.00,3,34.822,82.479,18.975,200.000
y,0.100,1.00,2.00,5,31.520,79.885,15.021,200.000
y,0.100,1.00,2.00,7,31.468,79.909,15.158,200.000
y,0.100,1.00,3.00,3,31.857,83.420,20.814,200.000
y,0.100,1.00,3.00,5,30.911,88.657,19.007,200.000
y,0.100,1.00,3.00,7,30.564,88.658,19.935,200.000
y,0.100,1.00,4.00,3,32.119,82.467,18.563,200.000
y,0.100,1.00,4.00,5,28.421,79.697,13.683,200.000
y,0.100,1.00,4.00,7,28.226,79.743,13.552,200.000
y,0.200,0.00,2.00,3,43.484,182.543,40.948,200.000
y,0.200,0.00,2.00,5,32.916,118.184,18.415,200.000
y,0.200,0.00,2.00,7,33.075,123.246,19.127,200.000
y,0.200,0.00,3.00,3,39.144,182.529,33.885,200.000
y,0.200,0.00,3.00,5,35.422,118.368,21.223,200.000
y,0.200,0.00,3.00,7,35.719,123.438,22.068,200.000
y,0.200,0.00,4.00,3,37.237,182.513,34.341,200.000
y,0.200,0.00,4.00,5,29.870,75.450,10.666,200.000
y,0.200,0.00,4.00,7,29.918,75.456,10.635,200.000
y,0.200,0.50,2.00,3,39.261,182.799,35.855,200.000
y,0.200,0.50,2.00,5,32.832,85.817,17.887,200.000
y,0.200,0.50,2.00,7,26.072,85.456,36.730,200.000
y,0.200,0.50,3.00,3,34.699,182.784,35.365,200.000
y,0.200,0.50,3.00,5,32.268,87.993,19.151,200.000
y,0.200,0.50,3.00,7,32.332,88.279,19.199,200.000
y,0.200,0.50,4.00,3,34.663,182.784,33.759,200.000
y,0.200,0.50,4.00,5,28.216,78.281,13.635,200.000
y,0.200,0.50,4.00,7,28.054,78.629,13.528,200.000
y,0.200,1.00,2.00,3,42.537,200.000,42.643,200.000
y,0.200,1.00,2.00,5,31.520,79.885,15.021,200.000
y,0.200,1.00,2.00,7,31.468,79.909,15.158,200.000
y,0.200,1.00,3.00,3,35.085,182.538,32.750,200.000
y,0.200,1.00,3.00,5,30.911,88.657,19.007,200.000
y,0.200,1.00,3.00,7,30.564,88.658,19.935,200.000
y,0.200,1.00,4.00,3,41.377,200.000,46.223,200.000
y,0.200,1.00,4.00,5,28.421,79.697,13.683,200.000
y,0.200,1.00,4.00,7,28.226,79.743,13.552,200.000
y,0.030,0.00,2.00,3,27.734,30.000,5.167,200.000
y,0.030,0.00,2.00,5,28.325,30.000,2.612,200.000
y,0.030,0.00,2.00,7,28.386,30.000,2.629,200.000
y,0.030,0.00,3.00,3,28.957,30.000,1.700,200.000
y,0.030,0.00,3.00,5,28.881,30.000,1.733,200.000
y,0.030,0.00,3.00,7,28.882,30.000,1.735,200.000
y,0.030,0.00,4.00,3,28.494,30.000,2.482,200.000
y,0.030,0.00,4.00,5,28.411,30.000,2.551,200.000
y,0.030,0.00,4.00,7,28.451,30.000,2.432,200.000
x,0.030,0.50,2.00,3,10.964,30.000,17.674,200.000
x,0.030,0.50,2.00,5,15.164,30.000,12.026,200.000
x,0.030,0.50,2.00,7,9.298,30.000,19.262,200.000
x,0.030,0.50,3.00,3,14.482,30.000,16.197,200.000
x,0.030,0.50,3.00,5,15.852,30.000,13.979,200.000
x,0.030,0.50,3.00,7,13.810,30.000,17.363,200.000
x,0.030,0.50,4.00,3,10.806,30.000,18.343,200.000
x,0.030,0.50,4.00,5,14.981,30.000,14.355,200.000
x,0.030,0.50,4.00,7,9.272,30.000,19.829,200.000
x,0.030,1.00,2.00,3,11.412,30.000,17.771,200.000
x,0.030,1.00,2.00,5,13.445,30.000,15.588,200.000
x,0.030,1.00,2.00,7,8.748,30.000,19.251,200.000
x,0.030,1.00,3.00,3,12.618,30.000,17.789,200.000
x,0.030,1.00,3.00,5,13.067,30.000,17.424,200.000
x,0.030,1.00,3.00,7,11.967,30.000,18.707,200.000
x,0.030,1.00,4.00,3,13.069,30.000,16.988,200.000
x,0.030,1.00,4.00,5,15.037,30.000,14.445,200.000
x,0.030,1.00,4.00,7,11.621,30.000,18.482,200.000
y,0.050,0.00,2.00,3,28.603,50.000,7.426,200.000
y,0.050,0.00,2.00,5,29.548,50.000,6.665,200.000
y,0.050,0.00,2.00,7,29.546,50.000,6.682,200.000
y,0.050,0.00,3.00,3,30.064,50.000,5.962,200.000
y,0.050,0.00,3.00,5,29.433,50.000,4.718,200.000
y,0.050,0.00,3.00,7,29.662,50.000,4.952,200.000
y,0.050,0.00,4.00,3,28.662,50.000,5.222,200.000
y,0.050,0.00,4.00,5,27.863,35.310,2.707,200.000
y,0.050,0.00,4.00,7,27.911,35.317,2.616,200.000
x,0.050,0.50,2.00,3,11.188,50.000,27.383,200.000
x,0.050,0.50,2.00,5,13.038,50.000,28.564,200.000
x,0.050,0.50,2.00,7,14.025,50.000,29.498,200.000
x,0.050,0.50,3.00,3,17.601,50.000,24.161,200.000
x,0.050,0.50,3.00,5,21.676,50.000,19.178,200.000
x,0.050,0.50,3.00,7,20.324,50.000,24.939,200.000
x,0.050,0.50,4.00,3,8.360,46.714,27.891,200.000
x,0.050,0.50,4.00,5,17.007,50.000,25.367,200.000
x,0.050,0.50,4.00,7,10.372,50.000,30.624,200.000
x,0.050,1.00,2.00,3,7.497,50.000,29.820,200.000
x,0.050,1.00,2.00,5,15.844,50.000,27.027,200.000
x,0.050,1.00,2.00,7,12.862,50.000,29.916,200.000
x,0.050,1.00,3.00,3,11.852,50.000,26.856,200.000
x,0.050,1.00,3.00,5,18.510,50.000,22.105,200.000
x,0.050,1.00,3.00,7,14.614,50.000,28.104,200.000
x,0.050,1.00,4.00,3,8.231,46.999,27.807,200.000
x,0.050,1.00,4.00,5,16.479,50.000,23.417,200.000
x,0.050,1.00,4.00,7,9.930,50.000,30.520,200.000
y,0.100,0.00,2.00,3,34.979,91.452,18.561,200.000
y,0.100,0.00,2.00,5,32.322,96.802,15.817,200.000
y,0.100,0.00,2.00,7,32.347,97.016,15.906,200.000
y,0.100,0.00,3.00,3,34.440,91.614,17.447,200.000
y,0.100,0.00,3.00,5,34.599,96.972,18.188,200.000
y,0.100,0.00,3.00,7,34.712,97.249,18.321,200.000
y,0.100,0.00,4.00,3,32.475,82.513,15.788,200.000
y,0.100,0.00,4.00,5,29.870,75.450,10.666,200.000
y,0.100,0.00,4.00,7,29.918,75.456,10.635,200.000
x,0.100,0.50,2.00,3,18.093,100.000,39.381,200.000
x,0.100,0.50,2.00,5,22.169,100.000,38.639,200.000
x,0.100,0.50,2.00,7,10.799,100.000,49.233,200.000
x,0.100,0.50,3.00,3,20.400,100.000,31.383,200.000
x,0.100,0.50,3.00,5,25.866,100.000,36.848,200.000
x,0.100,0.50,3.00,7,13.981,100.000,48.315,200.000
x,0.100,0.50,4.00,3,8.986,100.000,36.848,200.000
x,0.100,0.50,4.00,5,20.337,100.000,34.603,200.000
x,0.100,0.50,4.00,7,15.162,100.000,42.736,200.000
x,0.100,1.00,2.00,3,13.309,100.000,44.656,200.000
x,0.100,1.00,2.00,5,24.495,100.000,40.096,200.000
x,0.100,1.00,2.00,7,11.982,100.000,48.386,200.000
x,0.100,1.00,3.00,3,10.590,100.000,38.940,200.000
x,0.100,1.00,3.00,5,21.976,100.000,35.982,200.000
x,0.100,1.00,3.00,7,2.370,100.000,49.327,200.000
x,0.100,1.00,4.00,3,8.887,100.000,36.734,200.000
x,0.100,1.00,4.00,5,17.059,100.000,31.493,200.000
x,0.100,1.00,4.00,7,8.171,100.000,42.001,200.000
y,0.200,0.00,2.00,3,43.484,182.543,40.948,200.000
y,0.200,0.00,2.00,5,32.916,118.184,18.415,200.000
y,0.200,0.00,2.00,7,33.075,123.246,19.127,200.000
y,0.200,0.00,3.00,3,39.144,182.529,33.885,200.000
y,0.200,0.00,3.00,5,35.422,118.368,21.223,200.000
y,0.200,0.00,3.00,7,35.719,123.438,22.068,200.000
y,0.200,0.00,4.00,3,37.237,182.513,34.341,200.000
y,0.200,0.00,4.00,5,29.870,75.450,10.666,200.000
y,0.200,0.00,4.00,7,29.918,75.456,10.635,200.000
x,0.200,0.50,2.00,3,29.594,182.962,59.709,200.000
x,0.200,0.50,2.00,5,30.776,175.565,63.386,200.000
x,0.200,0.50,2.00,7,22.072,200.000,66.290,200.000
x,0.200,0.50,3.00,3,25.185,156.505,48.156,200.000
x,0.200,0.50,3.00,5,28.096,175.321,56.912,200.000
x,0.200,0.50,3.00,7,17.197,172.875,58.566,200.000
x,0.200,0.50,4.00,3,17.851,128.141,41.179,200.000
x,0.200,0.50,4.00,5,25.544,175.578,53.264,200.000
x,0.200,0.50,4.00,7,14.403,128.221,52.278,200.000
x,0.200,1.00,2.00,3,27.163,157.593,57.151,200.000
x,0.200,1.00,2.00,5,29.866,162.214,60.469,200.000
x,0.200,1.00,2.00,7,18.024,176.941,61.968,200.000
x,0.200,1.00,3.00,3,12.257,156.592,50.906,200.000
x,0.200,1.00,3.00,5,24.025,160.087,50.606,200.000
x,0.200,1.00,3.00,7,5.118,167.316,60.272,200.000
x,0.200,1.00,4.00,3,9.639,118.808,38.731,200.000
x,0.200,1.00,4.00,5,17.588,113.221,32.959,200.000
x,0.200,1.00,4.00,7,8.410,115.435,44.412,200.000
